,date,home,away,score,play_round,home_goals,away_goals,url,home_manager,away_manager,home_sheet,away_sheet
257,07/12/2004,Walsall FC,Hartlepool United,2:1,20,2,1,unknown,,,[],[]
258,08/12/2004,Sheffield Wednesday,Hull City,2:4,20,2,4,unknown,,,[],[]
259,08/12/2004,Swindon Town,Huddersfield Town,1:2,20,1,2,unknown,,,[],[]
261,10/12/2004,Tranmere Rovers,AFC Bournemouth,2:0,21,2,0,unknown,,,[],[]
262,11/12/2004,Blackpool FC,Bristol City,1:1,21,1,1,unknown,,,[],[]
263,11/12/2004,Bradford City,Walsall FC,1:1,21,1,1,unknown,,,[],[]
264,11/12/2004,Colchester United,Hull City,1:2,21,1,2,unknown,,,[],[]
265,11/12/2004,Hartlepool United,Stockport County,3:1,21,3,1,unknown,,,[],[]
266,11/12/2004,Luton Town,Port Vale FC,1:0,21,1,0,unknown,,,[],[]
267,11/12/2004,Milton Keynes Dons,Wrexham AFC,3:0,21,3,0,unknown,,,[],[]
268,11/12/2004,Oldham Athletic,Huddersfield Town,2:1,21,2,1,unknown,,,[],[]
269,11/12/2004,Peterborough United,Chesterfield FC,1:2,21,1,2,unknown,,,[],[]
270,11/12/2004,Sheffield Wednesday,Brentford FC,1:2,21,1,2,unknown,,,[],[]
271,11/12/2004,Swindon Town,Doncaster Rovers,1:1,21,1,1,unknown,,,[],[]
272,11/12/2004,Torquay United,Barnsley FC,0:1,21,0,1,unknown,,,[],[]
274,18/12/2004,Huddersfield Town,Bradford City,0:1,22,0,1,unknown,,,[],[]
275,18/12/2004,AFC Bournemouth,Swindon Town,2:1,22,2,1,unknown,,,[],[]
276,18/12/2004,Barnsley FC,Peterborough United,4:0,22,4,0,unknown,,,[],[]
277,18/12/2004,Brentford FC,Colchester United,1:0,22,1,0,unknown,,,[],[]
278,18/12/2004,Bristol City,Luton Town,1:2,22,1,2,unknown,,,[],[]
279,18/12/2004,Chesterfield FC,Torquay United,1:1,22,1,1,unknown,,,[],[]
280,18/12/2004,Hull City,Tranmere Rovers,6:1,22,6,1,unknown,,,[],[]
281,18/12/2004,Port Vale FC,Oldham Athletic,3:1,22,3,1,unknown,,,[],[]
282,18/12/2004,Stockport County,Milton Keynes Dons,3:1,22,3,1,unknown,,,[],[]
283,18/12/2004,Walsall FC,Blackpool FC,3:2,22,3,2,unknown,,,[],[]
284,18/12/2004,Wrexham AFC,Hartlepool United,1:5,22,1,5,unknown,,,[],[]
285,19/12/2004,Doncaster Rovers,Sheffield Wednesday,0:4,22,0,4,unknown,,,[],[]
287,15/12/2004,Colchester United,AFC Bournemouth,3:1,23,3,1,unknown,,,[],[]
288,26/12/2004,Brentford FC,Torquay United,1:3,23,1,3,unknown,,,[],[]
289,26/12/2004,Blackpool FC,Hull City,0:2,23,0,2,unknown,,,[],[]
290,26/12/2004,Bradford City,Wrexham AFC,1:1,23,1,1,unknown,,,[],[]
291,26/12/2004,Chesterfield FC,Luton Town,0:1,23,0,1,unknown,,,[],[]
292,26/12/2004,Doncaster Rovers,Milton Keynes Dons,3:0,23,3,0,unknown,,,[],[]
293,26/12/2004,Hartlepool United,Oldham Athletic,2:1,23,2,1,unknown,,,[],[]
294,26/12/2004,Huddersfield Town,Port Vale FC,2:1,23,2,1,unknown,,,[],[]
295,26/12/2004,Peterborough United,Swindon Town,0:2,23,0,2,unknown,,,[],[]
296,26/12/2004,Sheffield Wednesday,Walsall FC,3:2,23,3,2,unknown,,,[],[]
